tick,pop,births,deaths,food,max_generation,life_mean,predation_rate,foraging_rate,attack_attempt_rate,attack_success_rate,failed_action_count,failed_action_rate,ate_pct,cons_mean,brain_size,brain_size_stddev,brain_size_p10,brain_size_p50,brain_size_p90,lineage_diversity,p_fwd_food,mi_sa,mi_sa_juvenile,mi_sa_adult,h_action,idle_fraction,reproduction_efficiency,mean_gestation_ticks,mean_offspring_transfer_energy,damage_avoidance,reward_reversal_shift,util
2500,548,5783,10235,15334,11,181.27549878716397,0.00045550101165806457,0.008766867471933705,0.18701317140935766,0.0024589701572146298,1139815,0.9118272760248258,23.419147411357326,1.4015585897058271,10.149091913360662,0.6802816825236767,9.75,10,10.875,7.568295380124496,0.19583160555098533,0.010923197365509224,0.0068387286129405886,0.012341422721506477,2.60635500311452,0.01026984236334249,0.01824770960539999,1.9321977717884509,293.2197771788451,1,,0.017996972780007323
5000,823,8356,8081,10872,27,202.95767923309478,0.0003763413940728505,0.03246836219948465,0.12884862623288162,0.003599195079724067,789093,0.7003238698769717,42.74419159994642,6.551734413932466,10.811231742579455,1.8704694795704122,9.375,10,13.25,5.818088542201528,0.2702007488229588,0.009830177795361881,0.008357748367010245,0.011226647548391006,2.523126133487783,0.018808455930607842,0.042348915883017056,1.6126449273579637,261.26449273579635,1,,0.22637335710704587
7500,988,10714,10549,8116,45,207.25413942200694,0.00040455806368791194,0.04437911199602536,0.09389414807997268,0.0047537965455657595,868166,0.568994748992602,54.35577426683841,9.151987974797859,11.802012045897978,3.02287555885645,9.375,10.75,16,4.536727996405643,0.32634452505539757,0.011900775529237342,0.01308494114139344,0.012492368526557744,2.441657623778382,0.029090671513552397,0.04931932480552337,1.2670180328143292,226.70180328143294,1,,0.39991227949070934
10000,1106,12213,12095,6586,60,213.57239329441987,0.0004043747419008371,0.04956190070158718,0.07637317606109037,0.0053464799136557035,930969,0.503859761670736,60.30665444775949,10.592749649710878,12.382101227225794,3.342263481663813,9,11.625,17.125,4.003057154489955,0.3509763547737428,0.01586181005824029,0.018394526881901258,0.016233090744564947,2.3873580397818754,0.04513630622641831,0.0560846861238586,1.0620633654091707,206.20633654091705,1,,0.5258930005975752
12500,1150,12866,12822,6090,71,217.87585063887087,0.00042022156282967043,0.05036981386627926,0.07150516594296963,0.005878146623074544,942110,0.47756479353002534,62.314713278824044,11.011118137395144,12.340099012369615,3.6217138334150687,9,11.375,17.375,3.8937723995604383,0.3576387260480842,0.02053831043662302,0.022534804646041295,0.020445599823087742,2.363855800275026,0.04989460659048941,0.05909029473992951,0.9944729931982164,199.44729931982164,1,,0.5598472849448186
15000,1249,13703,13604,5067,85,218.96747518974277,0.00040332718142863826,0.05031245785870525,0.06602489209047165,0.0061696581044550424,963990,0.45737132075901527,63.73064528318972,11.0376590300573,12.046067430787943,3.9428648861263715,8,11.25,17.375,3.5939234165331375,0.3636893666928607,0.025497926957825878,0.028721306327441548,0.026277303800127785,2.339487055506205,0.05315068872294161,0.06183066849365079,0.9032082979468077,190.32082979468075,1,,0.5678213110542888
17500,1299,14426,14376,4663,93,220.4934703281389,0.00036798638666821074,0.050383532830592784,0.061313597598033696,0.006078808484298423,983361,0.4479222805488569,64.98111689472428,11.10073153310015,11.825347722684272,4.1038444109861745,7.5,11.125,17.625,3.4830464874163347,0.35288891699144664,0.03609442458126951,0.03840614202752239,0.03633733747680892,2.313920234656186,0.054896948310741565,0.06432770082236339,0.8695384642852118,186.95384642852116,1,,0.5621292995583979
20000,1324,14834,14809,4216,101,218.75071282398412,0.0003850285453888573,0.05076019389939211,0.05936988164399764,0.006529297629409599,1012962,0.4511620022553168,65.56874155781593,11.073942594693454,11.992000275705099,3.915203385498401,8,11.5,17.25,3.442293075116212,0.3511385735717307,0.03871104869013404,0.04007612611735685,0.0389503507099472,2.3174456042047953,0.04860046407169231,0.0650618727263749,0.8726581265723538,187.26581265723533,1,,0.563223448272805
22500,1328,14972,14968,4095,112,220.45937281711215,0.0003674355439537862,0.05113038008656497,0.05847147340421338,0.00638966677787066,1021558,0.45092923354857267,65.78494099939051,11.288818838675931,11.571219379461393,3.9522867156175048,7.75,10.375,17,3.3953364537852595,0.3515240067186475,0.04251264971062222,0.04399526955761052,0.042693529816478254,2.3119708012034628,0.042831623416375156,0.06713917332383176,0.8525221540048453,185.2522154004845,1,,0.5686887942061106
25000,1311,15061,15077,4074,125,220.7266573606564,0.0003981170894110363,0.05109787506136997,0.058109357475097656,0.006864678266210671,1032575,0.4520930607956477,65.96319283670587,11.299377996425097,11.440122675737422,3.8805015892829164,7.875,10.25,16.875,3.390776809751138,0.3514258954917016,0.042576249785429184,0.04348235017629511,0.04236163215578055,2.308267426430666,0.04248489948175538,0.06831921376918848,0.8565330660926866,185.65330660926867,1,,0.560622396123592
