tick,pop,births,deaths,food,max_generation,life_mean,predation_rate,foraging_rate,attack_attempt_rate,attack_success_rate,failed_action_count,failed_action_rate,ate_pct,cons_mean,brain_size,brain_size_stddev,brain_size_p10,brain_size_p50,brain_size_p90,lineage_diversity,p_fwd_food,mi_sa,mi_sa_juvenile,mi_sa_adult,h_action,idle_fraction,reproduction_efficiency,mean_gestation_ticks,mean_offspring_transfer_energy,damage_avoidance,reward_reversal_shift,util
2500,402,5233,9831,12401,2,178.40267511439635,0.0005249151825620353,0.003318901374340888,0.19978605535224184,0.0026273864891949534,1073918,0.9432363734095943,18.291681332864016,0.5782001642614103,9.990049751243781,0.15740589074185315,10,10,10,8.636126318044553,0.18748071212113546,0.014690984619943602,0.009729379203967785,0.017535974433176466,2.6126396217375563,0.010547645627483341,0.017150797890645227,2,300,1,,0.0019946028393758065
5000,439,5239,5202,12382,7,182.79753961634697,0.00013740549148930659,0.0041874886668626385,0.19126844415311478,0.0007183908045977011,590842,0.9197143920089537,20.391993327773143,0.7366555462885738,9.986332574031891,0.3303825195319504,10,10,10,8.50085688619455,0.2107040209221592,0.016660818048704402,0.00926744151608458,0.019384665180162287,2.625014269403978,0.011351579652987023,0.03302570697328441,2.0045558086560367,300.4555808656036,1,,0.006046705587989992
7500,793,8937,8583,5429,25,187.7904667328699,0.0003210640692793308,0.031663842142240196,0.11214516124970726,0.0028629328782579897,798894,0.6437636888444077,46.077457795431975,5.448733862959285,11.387137452711222,2.381133495597383,10,10,15,5.460553464532081,0.30602436899351915,0.00504565562184019,0.005386816894753192,0.00484194002418924,2.5234206628289577,0.012725674607776597,0.03775681350576048,1.3430012610340478,234.30012610340478,1,,0.3131661702839005
10000,892,11084,10985,3711,45,185.58959481674887,0.00034948483251313667,0.04467211147172347,0.09149636809373833,0.0038196579798127975,842493,0.5628522448805073,56.38719659607388,8.229668310608258,13.716367713004484,4.084757984634873,10,13,20,4.454538495309507,0.3354373041817811,0.015231054339165257,0.020620475545567327,0.014986423616568831,2.4661920966374344,0.01898125077862215,0.05386649041639128,1.0706278026905829,207.0627802690583,1,,0.5026473447589692
12500,951,11487,11428,3562,62,197.66558381288286,0.000385576309748762,0.046515446343781866,0.08555597013720705,0.00450671424951887,867465,0.5260405106952747,58.93818451828476,9.154445888249489,12.010515247108307,2.956376638049201,10,10,16,4.484125930333574,0.3442022701902573,0.025836455356803064,0.03030091710836881,0.025418271643998812,2.452987291851904,0.021947531609796313,0.05923790565872324,1.125131440588854,212.5131440588854,1,,0.5515777993250893
15000,999,11778,11730,2838,79,203.7553249097473,0.0004658835950904052,0.04648893581452642,0.08301350578505125,0.005612142153069985,879558,0.5139076020590005,58.51985559566787,9.48014440433213,12.19119119119119,3.595749142303571,10,10,17,4.1214761727934865,0.33880202976068025,0.03059461398731465,0.035399378477443,0.029733487749578475,2.441293486492812,0.019526279253825714,0.0604,1.057057057057057,205.7057057057057,1,,0.536857415741101
17500,998,11628,11629,2829,86,205.24138244656663,0.0004023259192090818,0.04691498774094437,0.07730291972409421,0.005204537172011661,859412,0.5104233235375869,58.590268303774444,9.635652569349704,12.076152304609218,4.12507514048885,8,10,18,4.221649360803307,0.32421488404362775,0.03531724389801601,0.03725542089172745,0.035687672705498275,2.451055436636222,0.02025691677745751,0.0601791712166771,1.0841683366733468,208.41683366733466,1,,0.5428355971104777
20000,992,11484,11490,2583,100,212.0446247464503,0.00041718941436981916,0.04721849225584043,0.0752160090061035,0.00554655079261073,853242,0.49515173285871056,58.279550064539926,9.998617001659598,11.797379032258064,3.2491117249943415,10,10,16,4.206583206415768,0.3264072268851603,0.03973651316032427,0.037851132295771514,0.04019615269353007,2.4284882681945015,0.018520248361713783,0.05985864103579843,1.0866935483870968,208.66935483870967,1,,0.5104842253871538
22500,956,11728,11764,2624,116,206.83316853932584,0.0004244263925238206,0.04785560090323514,0.07875201210356005,0.005389403790289113,850612,0.5024089418788507,57.8247191011236,9.96152808988764,11.99581589958159,3.515355327570426,9,10,17,4.3425761045333156,0.3371207217613846,0.037270233773323114,0.03669056387739099,0.036746256922715215,2.4334525855663687,0.017472289561817747,0.0640220102954904,1.0993723849372385,209.93723849372384,1,,0.541119458110145
25000,937,11790,11809,2854,132,201.7740320128767,0.000494444172717531,0.04874276897629603,0.07992476622839585,0.006186369958275382,872080,0.5203918811992262,57.98086381114191,9.863632299025307,12.556029882604056,3.7358496354341537,10,10,18,4.391064691272661,0.3383191997445223,0.03418683421074245,0.03310903902655416,0.034291014912041645,2.4375722034763396,0.016962990205169063,0.06261052430339817,1.087513340448239,208.7513340448239,1,,0.5459068046452523
