tick,pop,births,deaths,food,max_generation,life_mean,predation_rate,foraging_rate,attack_attempt_rate,attack_success_rate,failed_action_count,failed_action_rate,ate_pct,cons_mean,brain_size,brain_size_stddev,brain_size_p10,brain_size_p50,brain_size_p90,lineage_diversity,p_fwd_food,mi_sa,mi_sa_juvenile,mi_sa_adult,h_action,idle_fraction,reproduction_efficiency,mean_gestation_ticks,mean_offspring_transfer_energy,damage_avoidance,reward_reversal_shift,util
2500,402,5217,9815,21349,3,180.4511026440365,0.0004032842972974325,0.004789391809764857,0.19744736670985039,0.0020424901279643814,1104190,0.9466844310925465,21.14074587230112,0.8373167070777047,9.99502487562189,0.14098136632144073,10,10,10,8.636126318044553,0.18673199147280814,0.013228298148251057,0.007840947444745458,0.016032101515267044,2.611752022343304,0.009064824334073181,0.017013380467713057,2.0024875621890548,300.2487562189055,1,,0.0020782819535850364
5000,447,5302,5257,21126,16,184.84069695084008,0.00012490024560030596,0.007035310294211923,0.18033937496822228,0.0006925844432050111,601133,0.9195966907962771,23.542833437046255,1.2273387264053102,10.228187919463087,1.091685920093992,10,10,10,8.487081339581575,0.19675041257708678,0.014266300179354886,0.007292591736133353,0.01736867504197716,2.6311701404033263,0.01331802678941537,0.03198831961773294,2.011185682326622,301.1185682326622,1,,0.01887575191868907
7500,763,6662,6346,16243,34,193.07371631926793,0.0001724033608709022,0.024543441917059063,0.1430243362263391,0.0012054127669438729,727950,0.8078423800138497,33.72309778003728,4.062531774275547,11.709043250327653,2.8605436252015486,10,10,16,5.487749848221944,0.2527023688850652,0.011027978756510105,0.008826176411716121,0.010656593087126772,2.66770508711081,0.0480685212401323,0.034682562407267616,1.9305373525557012,293.05373525557013,1,,0.17407501564048505
10000,1106,11254,10911,10660,53,216.66520339479075,0.0002946054093853972,0.04890492803886555,0.07672815103064584,0.003839600008968409,1083393,0.6037105536352426,58.23822066139889,10.23490391181348,12.799276672694393,3.2759520821601678,10,12,17,4.089821143201575,0.33861696119331647,0.0032723712562220827,0.00800992238195786,0.0025567733684581984,2.5039481782607256,0.08975671012792591,0.04357944710561065,1.2622061482820977,226.22061482820976,1,,0.49926511311738064
12500,1250,12914,12770,8440,64,226.3326724494011,0.0002660059776060251,0.05273944929592663,0.06423255662216862,0.004141295187279191,1114339,0.518342293027347,63.25485336637753,11.920693928128872,13.4656,3.8604684482585694,10,13,19,4.047129750344384,0.36712797363960153,0.003916216923908356,0.006947842141464977,0.0035775320462478923,2.4095266393828285,0.0848642583793391,0.053239996372061574,1.004,200.4,1,,0.579518499671305
15000,1443,14819,14626,6204,70,231.31304722262092,0.00023229925805770744,0.052961154025792295,0.05501984851011563,0.004222099194166233,1079309,0.4292118522406875,66.21931964977752,12.295249031146835,8.970893970893972,4.103205780388603,4,10,14,3.5457070978960585,0.41420762872340355,0.0055762684164105715,0.007287240476630356,0.006151226659039958,2.301848529321744,0.052553361618193926,0.06231078444564048,0.8392238392238393,183.92238392238391,1,,0.5606897655947746
17500,1556,17256,17143,5697,63,216.58957852544637,0.00025770074606478284,0.05242590751500438,0.053149159444943576,0.004848632579631504,1110825,0.3919933939942515,69.22749908903195,11.424632576217661,6.641388174807198,3.323969833025402,2,6,10,2.954709195389874,0.4492037410041688,0.010432298323441433,0.010915253135395717,0.010642323131257281,2.12121037442501,0.006403049518462838,0.06459848686205438,0.762853470437018,176.2853470437018,1,,0.40680391926327003
20000,1649,18197,18104,4181,70,214.76958047994475,0.00024342343025251443,0.05270917999934874,0.05170479143790113,0.0047079472420824406,1141812,0.39443812848018556,70.44368993497152,11.32284053634114,7.526379624014554,2.826400540613907,4,7,10,2.7607693218748675,0.4254101759973815,0.008488792749147336,0.0089615136885813,0.008666150172722374,2.146425299328855,0.002952082542501196,0.06796036734526197,0.695573074590661,169.5573074590661,1,,0.3792319898570497
22500,1612,19258,19295,3952,84,207.06424987862113,0.0002562051300668908,0.05455483710358545,0.04809473366206077,0.005327093229523312,1161921,0.4067637294718258,71.96417974861089,11.30571289852727,7.561414392059554,2.929159464882534,4,7,10,2.931441346661231,0.3830226315534067,0.017703942493588868,0.01902080273707995,0.018107146336289,2.2288809598426047,0.002796858516000469,0.07079314198329609,0.7810173697270472,178.1017369727047,1,,0.46611384702820785
25000,1622,18794,18784,3712,92,216.36423657345762,0.00025969137168422955,0.05431517528531714,0.04494339440277343,0.005778187765635346,1149777,0.39800453743941366,71.42698624056813,11.762039502885042,8.551171393341553,3.4987449550360186,5,9,13,2.6846545588618094,0.37536347419251553,0.019478206621640376,0.019359257482713246,0.020288794365556206,2.2259331806116536,0.0033416894729756414,0.07271278180362055,0.6960542540073983,169.60542540073982,1,,0.514165790562253
27500,1651,17795,17766,3718,102,229.74478462713756,0.0002579888743877186,0.0538782348103049,0.04429701821967462,0.005824068633882275,1128982,0.38974454927171154,70.74690015866487,12.358876417699948,8.902483343428225,3.041734719191237,5,10,12,2.7365240026925144,0.37329759831724746,0.021672274022845522,0.02002436995187307,0.022835317856048483,2.209084096325292,0.002672452328920176,0.07601387429411112,0.7207752877044216,172.07752877044214,1,,0.5784581667889914
30000,1680,17197,17168,3562,113,243.73865919746697,0.00025631402583070286,0.05336215089608276,0.0421487840948471,0.006081172478283627,1124192,0.38243026262076474,70.00548011934482,12.997625281617244,9.261309523809524,2.6302142225636067,6,10,13,2.751815314583819,0.3771597711930528,0.02323964557088644,0.02200676012387232,0.024158591395614513,2.196320976230291,0.0030197039664966135,0.07646067590579468,0.7178571428571429,171.78571428571428,1,,0.6114666912690415
32500,1705,17175,17150,3439,125,246.53044432254526,0.00024590530594450745,0.05334662292929815,0.04006501785717375,0.0061376562172298504,1106882,0.37924659275537803,70.60401048333028,13.214542573291888,9.27859237536657,2.7323057648781623,6,10,13,2.682306682789659,0.38109874737393973,0.021905591932660087,0.02071937964940532,0.02253766392238762,2.1965944981345276,0.0028799612598199385,0.07836025184779633,0.7202346041055718,172.0234604105572,1,,0.6628690722103913
35000,1723,17434,17416,3311,127,243.67832923243114,0.0002615402485884808,0.0535651619548083,0.04084497392087634,0.006403241904258006,1124718,0.38232891590224205,70.35347776510832,13.060613334933686,9.502611723737667,3.0219489438403366,6,10,13,2.68553931817021,0.38284874858983137,0.023184743147917703,0.022108180718133034,0.024080908162901357,2.1923642338719938,0.002595638686108896,0.08188090306642432,0.6807893209518282,168.0789320951828,1,,0.6571337607902317
37500,1711,17343,17355,3544,135,246.00823713323715,0.0002492775476764715,0.053251457441913314,0.039876334851912255,0.006251265283086002,1127602,0.38444808647407247,70.32227032227033,13.144059644059643,9.755698421975453,3.2522870557737087,5,10,14,2.729422675633107,0.37702583862898337,0.025580392579952312,0.023885851710940535,0.026498169860736203,2.201626298150764,0.0027605941452716323,0.08011104592885485,0.7194623027469316,171.94623027469316,1,,0.6568544247922787
40000,1686,17448,17473,3410,139,242.11830330509486,0.00026732859515880174,0.053510600805076004,0.04068299758251563,0.006571015191704847,1108079,0.37918913378912633,70.80897267629162,12.951139482162032,9.987544483985765,3.643087543966462,5,10,15,2.71539029596148,0.373097107583751,0.02664185603381846,0.024943464147832918,0.028040012283076565,2.200478458245908,0.0028233976928835557,0.08306277313884737,0.7064056939501779,170.6405693950178,1,,0.6675232563898111
42500,1702,17261,17245,3443,147,246.32102134885977,0.0002621181799573837,0.05361961154478417,0.04009401894417423,0.006537588070738172,1117928,0.3816209352021902,70.1783114992722,13.240295972828724,11.069917743830787,3.577468972199919,6,10,16,2.7060297310275483,0.3694930677501098,0.03121093335671342,0.02640624895390112,0.03315938875660133,2.1963482380979946,0.0027709497647106936,0.08168335573264685,0.7314923619271445,173.14923619271445,1,,0.6635835728979065
45000,1686,17094,17110,3306,156,247.51947496947497,0.0002736239964563852,0.05359692853996444,0.04132360393478669,0.0066214940228397,1134379,0.3868160264283712,70.47008547008546,13.256227106227106,10.732502965599052,3.5297716026277426,6,10,15,2.6664181608230515,0.3690399031547034,0.029967825529644027,0.02753660407668283,0.03179206643964455,2.2074715703423524,0.0026909181021391123,0.07652739164887117,0.7443653618030842,174.43653618030842,1,,0.6796021731254236
47500,1676,17270,17280,3352,161,247.51806864877932,0.0002775849425807238,0.053474930976402595,0.04093327185413302,0.006781401290615281,1114230,0.3791797727228642,70.44960116026105,13.291999033115784,11.10381861575179,3.880519824137536,6,10,17,2.770340479635146,0.3640716418401958,0.03358284782321362,0.030398388669302612,0.034590983981471,2.2022595908214893,0.0029716537684891385,0.07906748893192504,0.6933174224343676,169.33174224343676,1,,0.6652432421205671
50000,1637,17543,17582,3423,173,242.95142109644428,0.0002632514053376678,0.053852839026431475,0.03877359224960359,0.006789451017150964,1106075,0.37830606305517184,71.09049827565704,13.109049827565704,11.929749541844838,3.776184995457964,8,11,17,2.7351842399085067,0.3611618902513103,0.03687524483967623,0.03201199324565488,0.03882753490705321,2.1890985711562143,0.002679560237603614,0.08242380390811835,0.6707391569945022,167.07391569945023,1,,0.6594466362456417
52500,1667,17478,17448,3417,181,240.28036044638063,0.0003010767442153163,0.053852758171457286,0.040750984113759624,0.007388207935662032,1101646,0.37950104723584854,71.08074237632034,12.94670883809751,12.474505098980204,3.8604687845101076,9,12,18,2.732626897358481,0.36037144294162404,0.03329072442248422,0.029567560518031572,0.034492785412595865,2.2062896519927024,0.0028575738712323115,0.08140661387983232,0.6760647870425914,167.60647870425916,1,,0.6621957010327044
55000,1706,17656,17617,3263,180,238.7053518452593,0.0003662189010467633,0.05394735541519635,0.043465636706896384,0.00842548111089002,1100119,0.3764841281194325,70.93271626913493,12.925536964518809,12.8915592028136,3.8189490563236226,10,12,18,2.6174228592900297,0.3672615110393182,0.030210765354252676,0.026180987585298673,0.03160131745979073,2.2008558140232353,0.0027206392820230702,0.08328459027528821,0.6647127784290738,166.4712778429074,1,,0.6619688314967581
57500,1676,17237,17267,3437,194,245.3722299799648,0.00036453211485832406,0.05401959805876743,0.044205957673165756,0.00824622141552665,1108352,0.37783559417254375,70.87001396393661,13.263554125432579,13.594272076372315,4.309208171669799,10,13,20,2.700058868626043,0.3695211176779301,0.02759118675673131,0.023507621250690308,0.028885310885097375,2.1951340475543777,0.002917139662038334,0.08241256484425426,0.7022673031026253,170.22673031026252,1,,0.6735724475098818
60000,1690,17187,17173,3311,197,243.738842674115,0.00038126614637291705,0.05410626123462175,0.04508875801373005,0.008455902605629924,1123024,0.3862606946008925,70.14390673386362,13.215981541077175,13.54733727810651,4.56748950360407,9,13,20,2.7028593412486326,0.36357951055518334,0.031373504228471995,0.027988337424937042,0.033100519090408516,2.2147214126293737,0.0029165987373371005,0.07922795727673776,0.7100591715976331,171.0059171597633,1,,0.6719928806875781
62500,1667,17400,17423,3460,208,242.48640211322567,0.0003312117013315155,0.053987754305628625,0.043444058318946245,0.007623866511270928,1118108,0.37944772950637196,70.43285105361109,13.097136339076664,13.28254349130174,4.8655542834975245,8,13,19,2.71383916232883,0.3607509033624664,0.03389246609499203,0.029995999225359928,0.03583600253866669,2.1925488106992197,0.002566826359923397,0.08167173594682889,0.734253149370126,173.4253149370126,1,,0.6762221514473745
65000,1677,17664,17654,3424,225,238.23309429265692,0.0003449966543520993,0.05411852485491016,0.0429832548708113,0.008026303624260355,1137628,0.3850101529714363,71.06620043857049,12.92111657677947,11.997614788312463,4.587582112153472,5,12,18,2.805205756232768,0.3667881706535313,0.03246957175804065,0.028772290815085578,0.033374880219403116,2.1969234608646033,0.0028321499256744524,0.07797573852700722,0.7364341085271318,173.64341085271317,1,,0.6482463103444124
